,feature,importance,model,day_split,seed,lookback_days,lookforward_days_freezing,lookforward_days_predict
50,humidity_max,0.028125,weather_patient_passive,0.7,0,5,2,3
10,tree_pollen_mean,0.015625,weather_patient_passive,0.7,0,5,2,3
43,temperature_min_min,0.0140625,weather_patient_passive,0.7,0,5,2,3
34,temperature_max_max,0.0140625,weather_patient_passive,0.7,0,5,2,3
46,temperature_min_skew,0.013671875,weather_patient_passive,0.7,0,5,2,3
30,temperature_skew,0.011328125,weather_patient_passive,0.7,0,5,2,3
62,wind_speed_skew,0.01015625,weather_patient_passive,0.7,0,5,2,3
52,humidity_mean,0.00703125,weather_patient_passive,0.7,0,5,2,3
35,temperature_max_min,0.00546875,weather_patient_passive,0.7,0,5,2,3
61,wind_speed_range,0.0046875,weather_patient_passive,0.7,0,5,2,3
54,humidity_skew,0.00390625,weather_patient_passive,0.7,0,5,2,3
64,wind_speed_median,0.00390625,weather_patient_passive,0.7,0,5,2,3
20,weed_pollen_skew,0.002734375,weather_patient_passive,0.7,0,5,2,3
26,temperature_max,0.00234375,weather_patient_passive,0.7,0,5,2,3
39,temperature_max_gradient,0.00234375,weather_patient_passive,0.7,0,5,2,3
8,tree_pollen_max,0.00234375,weather_patient_passive,0.7,0,5,2,3
59,wind_speed_min,0.001953125,weather_patient_passive,0.7,0,5,2,3
29,temperature_range,0.001953125,weather_patient_passive,0.7,0,5,2,3
53,humidity_range,0.0015625,weather_patient_passive,0.7,0,5,2,3
33,temperature_latest,0.0015625,weather_patient_passive,0.7,0,5,2,3
47,temperature_min_gradient,0.000390625,weather_patient_passive,0.7,0,5,2,3
63,wind_speed_gradient,0.0,weather_patient_passive,0.7,0,5,2,3
68,aqi_mean,0.0,weather_patient_passive,0.7,0,5,2,3
41,temperature_max_latest,0.0,weather_patient_passive,0.7,0,5,2,3
72,aqi_median,0.0,weather_patient_passive,0.7,0,5,2,3
44,temperature_min_mean,0.0,weather_patient_passive,0.7,0,5,2,3
71,aqi_gradient,0.0,weather_patient_passive,0.7,0,5,2,3
70,aqi_skew,0.0,weather_patient_passive,0.7,0,5,2,3
45,temperature_min_range,0.0,weather_patient_passive,0.7,0,5,2,3
69,aqi_range,0.0,weather_patient_passive,0.7,0,5,2,3
48,temperature_min_median,0.0,weather_patient_passive,0.7,0,5,2,3
67,aqi_min,0.0,weather_patient_passive,0.7,0,5,2,3
49,temperature_min_latest,0.0,weather_patient_passive,0.7,0,5,2,3
66,aqi_max,0.0,weather_patient_passive,0.7,0,5,2,3
65,wind_speed_latest,0.0,weather_patient_passive,0.7,0,5,2,3
40,temperature_max_median,0.0,weather_patient_passive,0.7,0,5,2,3
55,humidity_gradient,0.0,weather_patient_passive,0.7,0,5,2,3
56,humidity_median,0.0,weather_patient_passive,0.7,0,5,2,3
57,humidity_latest,0.0,weather_patient_passive,0.7,0,5,2,3
0,grass_pollen_max,0.0,weather_patient_passive,0.7,0,5,2,3
73,aqi_latest,0.0,weather_patient_passive,0.7,0,5,2,3
38,temperature_max_skew,0.0,weather_patient_passive,0.7,0,5,2,3
18,weed_pollen_mean,0.0,weather_patient_passive,0.7,0,5,2,3
3,grass_pollen_range,0.0,weather_patient_passive,0.7,0,5,2,3
4,grass_pollen_skew,0.0,weather_patient_passive,0.7,0,5,2,3
5,grass_pollen_gradient,0.0,weather_patient_passive,0.7,0,5,2,3
6,grass_pollen_median,0.0,weather_patient_passive,0.7,0,5,2,3
7,grass_pollen_latest,0.0,weather_patient_passive,0.7,0,5,2,3
9,tree_pollen_min,0.0,weather_patient_passive,0.7,0,5,2,3
11,tree_pollen_range,0.0,weather_patient_passive,0.7,0,5,2,3
12,tree_pollen_skew,0.0,weather_patient_passive,0.7,0,5,2,3
13,tree_pollen_gradient,0.0,weather_patient_passive,0.7,0,5,2,3
14,tree_pollen_median,0.0,weather_patient_passive,0.7,0,5,2,3
15,tree_pollen_latest,0.0,weather_patient_passive,0.7,0,5,2,3
16,weed_pollen_max,0.0,weather_patient_passive,0.7,0,5,2,3
17,weed_pollen_min,0.0,weather_patient_passive,0.7,0,5,2,3
19,weed_pollen_range,0.0,weather_patient_passive,0.7,0,5,2,3
24,extreme_heat,0.0,weather_patient_passive,0.7,0,5,2,3
1,grass_pollen_min,0.0,weather_patient_passive,0.7,0,5,2,3
32,temperature_median,0.0,weather_patient_passive,0.7,0,5,2,3
28,temperature_mean,0.0,weather_patient_passive,0.7,0,5,2,3
27,temperature_min,0.0,weather_patient_passive,0.7,0,5,2,3
25,extreme_cold,0.0,weather_patient_passive,0.7,0,5,2,3
23,weed_pollen_latest,0.0,weather_patient_passive,0.7,0,5,2,3
